upc_a_code,item_name
180127000333,"Zico Beverages, LLC - ZICO, PREMIUM COCONUT WATER"
180127000333,"ZICO - ZICO, PREMIUM COCONUT WATER"
180127000371,ZICO - 100% COCONUT WATER
180127000395,"Zico Beverages, LLC - ZICO, PREMIUM COCONUT WATER BEVERAGE, CHOCOLATE"
180127000395,"Zico Beverages, LLC - ZICO, PREMIUM COCONUT WATER BEVERAGE, CHOCOLATE, CHOCOLATE"
180127000395,"ZICO - ZICO, PREMIUM COCONUT WATER BEVERAGE, CHOCOLATE, CHOCOLATE"
180127000401,"ZICO - FRUIT PUNCH HYDRATE BEVERAGE, FRUIT PUNCH"
180127000432,"ZICO - TROPICAL HYDRATE BEVERAGE, TROPICAL"
180127000449,"ZICO - COCONUT LIME HYDRATION BEVERAGE, COCONUT LIME"
180127000487,"ZICO - COCONUT LIME HYDRATE RAPID HYDRATION COCONUT WATER, COCONUT LIME"
180127000494,"ZICO - TROPICAL RAPID HYDRATION BEVERAGE, TROPICAL"
180127000500,"Zico Beverages, LLC - ZICO, NATURAL PURE PREMIUM COCONUT WATER FROM CONCENTRATE"
180127000500,"ZICO - ZICO, NATURAL PURE PREMIUM COCONUT WATER FROM CONCENTRATE"
180127000647,"ZICO HYDRATE - FRUIT PUNCH HYDRATION BEVERAGE, FRUIT PUNCH"
180127000708,"ZICO - COCONUT LIME HYDRATION BEVERAGE, COCONUT LIME"
180127000852,"ZICO - ZICO, COCONUT WATER, CHOCOLATE, CHOCOLATE"
180181908200,Tuffy - the original tuffy
180187000038,BEST PITA - WHITE POCKET PITA BREAD
180187000045,BEST PITA - WHOLE WHEAT POCKET PITA BREAD
180187000519,"SNACKIOS - CINNAMON N' SUGAR PITA CHIPS, CINNAMON N' SUGAR"
180187000519,"SNACKIOS - CINNAMON N' SUGAR PITA CHIPS, CINNAMON"
180187000526,"SNACKIOS - SESAME THYME PITA CHIPS, SESAME THYME"
180187000526,"SNACKIOS - SESAME THYME PITA CHIPS, SESAME; THYME"
180187000533,"SNACKIOS - ORIGINAL THIN & CRISPY PITA CHIPS, ORIGINAL"
180187000533,SNACKIOS - ORIGINAL PITA CHIPS
180187000533,"SNACKIOS - ORIGINAL PITA CHIPS, ORIGINAL"
180187000540,"SNACKIOS - SOUR CREAM N' ONION THIN & CRISPY PITA CHIPS, SOUR CREAM N' ONION"
180187000540,"SNACKIOS - SOUR CREAM N' ONION PITA CHIPS, SOUR CREAM N' ONION"
